Time,Temperature
2023-01-23T11:47:30.384596,20.7
2023-01-23T12:15:45.201558,20.2
2023-01-23T12:45:44.959793,20.3
2023-01-23T13:15:44.723459,19.9
2023-01-23T13:45:44.484911,20.2
2023-01-23T14:15:44.258003,20.1
2023-01-23T14:45:44.022076,20.3
2023-01-23T15:15:43.778076,20.1
2023-01-23T15:45:43.544916,20.3
2023-01-23T16:15:43.312359,20.1
2023-01-23T16:45:43.067136,20.3
2023-01-23T17:15:42.830490,20.0
2023-01-23T17:45:42.614217,20.2
2023-01-23T18:15:42.368475,19.9
2023-01-23T18:45:42.129379,20.1
2023-01-23T19:15:41.892897,19.8
2023-01-23T19:45:41.670198,20.1
2023-01-23T20:15:41.428183,19.8
2023-01-23T20:28:18.793205,19.3
2023-01-23T20:49:11.127653,18.8
2023-01-23T21:19:10.898991,18.4
2023-01-23T21:49:10.645227,18.0
2023-01-23T22:19:10.410830,17.7
2023-01-23T22:49:10.170498,17.5
2023-01-23T23:19:09.935132,17.4
2023-01-23T23:49:09.705213,17.2
2023-01-24T00:19:09.485633,17.0
2023-01-24T00:49:09.256213,16.8
2023-01-24T01:19:09.018614,16.6
2023-01-24T01:49:08.786592,16.5
2023-01-24T02:19:08.528788,16.5
2023-01-24T02:49:08.300692,16.3
2023-01-24T03:19:08.054352,16.2
2023-01-24T03:49:07.812926,16.3
2023-01-24T04:19:07.579806,16.1
2023-01-24T04:49:07.342908,16.1
2023-01-24T05:19:07.101186,16.2
2023-01-24T05:49:06.866368,16.1
2023-01-24T06:12:36.700311,16.6
2023-01-24T06:18:59.131894,17.1
2023-01-24T06:25:59.036502,17.6
2023-01-24T06:35:51.536805,18.1
2023-01-24T06:44:06.376555,18.6
2023-01-24T06:56:51.287738,19.1
2023-01-24T07:26:51.051864,19.0
2023-01-24T07:36:21.035304,19.5
2023-01-24T07:55:28.364611,20.0
2023-01-24T08:25:28.115895,20.1
2023-01-24T08:55:27.887239,20.4
2023-01-24T09:25:27.647589,20.4
2023-01-24T09:55:27.426229,20.7
2023-01-24T10:25:27.192039,20.3
2023-01-24T10:55:26.957256,20.3
2023-01-24T11:25:26.716341,20.2
2023-01-24T11:55:26.493039,20.3
2023-01-24T12:25:26.254403,20.3
2023-01-24T12:55:26.018632,20.4
2023-01-24T13:25:25.774654,20.2
2023-01-24T13:55:25.541656,20.4
2023-01-24T14:25:25.306253,20.2
2023-01-24T14:55:25.059959,20.3
2023-01-24T15:25:24.830031,20.1
2023-01-24T15:55:24.583433,20.3
2023-01-24T16:25:24.343295,20.2
2023-01-24T16:55:24.125546,20.2
2023-01-24T17:25:23.891306,20.0
2023-01-24T17:55:23.653540,20.2
2023-01-24T18:25:23.414952,20.1
2023-01-24T18:55:23.171327,20.2
2023-01-24T19:25:22.928072,20.1
2023-01-24T19:51:52.663918,19.6
2023-01-24T20:12:22.551583,19.1
2023-01-24T20:42:22.298466,18.8
2023-01-24T21:12:22.070617,18.4
2023-01-24T21:42:21.831839,18.2
2023-01-24T22:12:21.590997,18.0
2023-01-24T22:42:21.356470,17.7
2023-01-24T23:12:21.126694,17.6
2023-01-24T23:42:20.884283,17.4
2023-01-25T00:12:20.651270,17.3
2023-01-25T00:42:20.424372,17.1
2023-01-25T01:12:20.173374,17.0
2023-01-25T01:42:19.935074,16.9
2023-01-25T02:12:19.689516,16.8
2023-01-25T02:42:19.458069,16.7
2023-01-25T03:12:19.219350,16.6
2023-01-25T03:42:18.983715,16.5
2023-01-25T04:12:18.737450,16.4
2023-01-25T04:42:18.495756,16.3
2023-01-25T05:12:18.260964,16.3
2023-01-25T05:42:18.027362,16.2
2023-01-25T06:12:17.792256,16.6
2023-01-25T06:17:02.738831,17.1
2023-01-25T06:23:47.654056,17.6
2023-01-25T06:33:02.601244,18.1
2023-01-25T06:40:32.533090,18.6
2023-01-25T06:52:39.953896,19.1
2023-01-25T07:22:39.726381,19.1
2023-01-25T07:52:16.998930,19.6
2023-01-25T08:22:16.759136,19.7
2023-01-25T08:52:16.525853,20.0
2023-01-25T09:22:16.285905,20.0
2023-01-25T09:52:16.062345,20.2
2023-01-25T10:22:15.811196,20.2
2023-01-25T10:52:15.587675,20.3
2023-01-25T11:22:15.390719,20.3
2023-01-25T11:52:15.118583,20.4
2023-01-25T12:22:14.879370,20.3
2023-01-25T12:52:14.670951,20.4
2023-01-25T13:22:14.413535,20.3
2023-01-25T13:52:14.178806,20.3
2023-01-25T14:22:13.936305,20.3
2023-01-25T14:52:13.708650,20.3
2023-01-25T15:22:13.462992,20.2
2023-01-25T15:52:13.225885,20.2
2023-01-25T16:22:12.994701,20.2
2023-01-25T16:52:12.797861,20.2
2023-01-25T17:22:12.538517,20.1
2023-01-25T17:52:12.304094,20.1
2023-01-25T18:22:12.049924,20.1
2023-01-25T18:52:11.805934,20.1
2023-01-25T19:22:11.568896,20.1
2023-01-25T19:52:11.343157,19.7
2023-01-25T20:12:48.611557,19.2
2023-01-25T20:42:48.374467,18.9
2023-01-25T21:12:48.142810,18.6
2023-01-25T21:42:47.907441,18.4
2023-01-25T22:12:47.672290,18.1
2023-01-25T22:42:47.439900,18.0
2023-01-25T23:12:47.191680,17.7
2023-01-25T23:42:46.954380,17.6
2023-01-26T00:12:46.712656,17.5
2023-01-26T00:42:46.475684,17.4
2023-01-26T01:12:46.235315,17.3
2023-01-26T01:42:45.997755,17.1
2023-01-26T02:12:45.766305,17.0
2023-01-26T02:42:45.522849,17.0
2023-01-26T03:12:45.283835,16.9
2023-01-26T03:42:45.047882,16.8
2023-01-26T04:12:44.812302,16.7
2023-01-26T04:42:44.572798,16.6
2023-01-26T05:12:44.326273,16.5
2023-01-26T05:42:44.102476,16.4
2023-01-26T06:11:36.407868,16.9
2023-01-26T06:16:43.869683,17.4
2023-01-26T06:24:13.747603,17.9
2023-01-26T06:31:51.178226,18.4
2023-01-26T06:41:21.194215,18.9
2023-01-26T07:07:05.927624,19.4
2023-01-26T07:37:05.689879,19.4
2023-01-26T07:47:05.641254,19.9
2023-01-26T08:17:05.424298,20.1
2023-01-26T08:47:05.175153,20.4
2023-01-26T09:17:04.935284,20.3
2023-01-26T09:47:04.702393,20.7
2023-01-26T10:17:04.465796,20.7
2023-01-26T10:47:04.224637,20.7
2023-01-26T11:17:04.004057,20.8
2023-01-26T11:47:03.765767,20.6
2023-01-26T12:17:03.534949,20.2
2023-01-26T12:47:03.286584,20.3
2023-01-26T13:17:03.054174,20.0
2023-01-26T13:47:02.821073,20.1
2023-01-26T14:17:02.573367,19.8
2023-01-26T14:47:02.338031,20.1
2023-01-26T15:17:02.108281,20.1
2023-01-26T15:47:01.875306,20.1
2023-01-26T16:17:01.635541,20.0
2023-01-26T16:47:01.406196,20.1
2023-01-26T17:17:01.167801,20.0
2023-01-26T17:47:00.937750,20.1
2023-01-26T18:17:00.701782,20.0
2023-01-26T18:47:00.456428,20.1
2023-01-26T19:17:00.228112,20.0
2023-01-26T19:46:52.475419,19.5
2023-01-26T20:09:29.747438,19.0
2023-01-26T20:39:29.512107,18.8
2023-01-26T21:09:29.269553,18.4
2023-01-26T21:39:29.040235,18.2
2023-01-26T22:09:28.803902,18.0
2023-01-26T22:39:28.566586,17.7
2023-01-26T23:09:28.330547,17.6
2023-01-26T23:39:28.091470,17.4
2023-01-27T00:09:27.853281,17.3
2023-01-27T00:39:27.621902,17.2
2023-01-27T01:09:27.395257,17.0
2023-01-27T01:39:27.169520,16.9
2023-01-27T02:09:26.914161,16.8
2023-01-27T02:39:26.672779,16.6
2023-01-27T03:09:26.432879,16.6
2023-01-27T03:39:26.189452,16.5
2023-01-27T04:09:25.957969,16.4
2023-01-27T04:39:25.727064,16.3
2023-01-27T05:09:25.482564,16.2
2023-01-27T05:39:25.238827,16.2
2023-01-27T06:09:24.998181,16.3
2023-01-27T06:14:09.974330,16.8
2023-01-27T06:19:39.909086,17.3
2023-01-27T06:28:54.832613,17.8
2023-01-27T06:36:17.276190,18.3
2023-01-27T06:45:02.180510,18.8
2023-01-27T07:13:24.520156,19.3
2023-01-27T07:43:24.288091,19.4
2023-01-27T08:13:24.056880,19.8
2023-01-27T08:43:23.825272,19.8
2023-01-27T09:13:23.593586,20.1
2023-01-27T09:43:23.356359,20.0
2023-01-27T10:13:23.127534,20.3
2023-01-27T10:43:22.879795,20.2
2023-01-27T11:13:22.641151,20.4
2023-01-27T11:43:22.412252,20.3
